Avicii,           Stories,                   Trouble
Daft Punk,        Random Access Memories,    Contact
David Guetta,     Nothing but the Beat,      Where them girls at
Darius and Finaly,Summer is Here,            Count it down (like Madie)
Rob and Chris,    Zietmaschine(Single),      Zietmaschine
Harris and Ford,  Das Geht Boom(Single),     Das Geht Boom(Shag Ragga)
Cascada,Everytime We Touch,                  Everytime We Touch
Hardwell,         United We Are,Young Again
Jasper Forks,     River flows in you(Single),River flows in you
LTN,              People I'll never forget,  Here I am again
Michael Mind,     State of Mind,             Feeling So Blue
Project 46,       Project 46,                Dreaming
